timestamp_ms_device,ppg_finger1,ppg_finger2,ppg_finger3
1748883862641,2039,2275,2475
1748883862651,2120,2276,2524
1748883862661,2092,2287,2572
1748883862671,2136,2344,2567
1748883862681,2228,2314,2610
1748883862691,2199,2377,2553
1748883862701,2218,2412,2640
1748883862711,2315,2466,2588
1748883862721,2324,2389,2571
1748883862731,2410,2412,2603
1748883862741,2370,2421,2567
1748883862751,2370,2506,2549
1748883862761,2411,2525,2570
1748883862771,2427,2452,2512
1748883862781,2481,2498,2534
1748883862791,2493,2490,2520
1748883862801,2507,2494,2477
1748883862811,2536,2513,2386
1748883862821,2498,2535,2430
1748883862831,2514,2534,2365
1748883862841,2523,2494,2343
1748883862851,2537,2423,2268
1748883862861,2512,2454,2198
1748883862871,2576,2485,2203
1748883862881,2549,2410,2184
1748883862891,2535,2361,2121
1748883862901,2552,2367,2019
1748883862911,2507,2342,2027
1748883862921,2501,2359,1971
1748883862931,2472,2327,1916
1748883862941,2427,2245,1833
1748883862951,2453,2278,1832
1748883862961,2357,2215,1803
1748883862971,2322,2250,1741
1748883862981,2363,2145,1719
1748883862991,2249,2150,1695
1748883863001,2216,2089,1682
1748883863011,2262,2121,1584
1748883863021,2180,2044,1578
1748883863031,2113,2063,1550
1748883863041,2093,1953,1521
1748883863051,2094,2011,1566
1748883863061,2009,1925,1538
1748883863071,2022,1935,1481
1748883863081,1976,1826,1548
1748883863091,1943,1846,1461
1748883863101,1889,1849,1464
1748883863111,1832,1823,1524
1748883863121,1813,1811,1551
1748883863131,1798,1755,1506
1748883863141,1760,1709,1577
1748883863151,1713,1730,1563
1748883863161,1695,1642,1616
1748883863171,1638,1634,1560
1748883863181,1685,1650,1630
1748883863191,1645,1639,1638
1748883863201,1599,1666,1705
1748883863211,1611,1641,1733
1748883863221,1615,1626,1752
1748883863231,1581,1607,1755
1748883863241,1507,1598,1823
1748883863251,1539,1563,1911
1748883863261,1540,1609,1945
1748883863271,1530,1602,1980
1748883863281,1580,1633,2057
1748883863291,1563,1632,2066
1748883863301,1525,1610,2129
1748883863311,1538,1622,2149
1748883863321,1541,1690,2180
1748883863331,1568,1616,2280
1748883863341,1618,1696,2257
1748883863351,1665,1658,2284
1748883863361,1649,1694,2317
1748883863371,1656,1752,2441
1748883863381,1735,1745,2449
1748883863391,1794,1829,2502
1748883863401,1798,1792,2524
1748883863411,1830,1813,2493
1748883863421,1868,1835,2537
1748883863431,1869,1919,2573
1748883863441,1969,1953,2554
1748883863451,1938,1988,2616
1748883863461,2035,2006,2577
1748883863471,2058,2032,2552
1748883863481,2091,2008,2550
1748883863491,2076,2136,2616
1748883863501,2134,2151,2622
1748883863511,2222,2185,2627
1748883863521,2245,2180,2553
1748883863531,2261,2193,2589
1748883863541,2248,2234,2532
1748883863551,2284,2225,2506
1748883863561,2345,2258,2502
1748883863571,2403,2316,2455
1748883863581,2411,2336,2441
1748883863591,2400,2404,2381
1748883863601,2430,2402,2335
1748883863611,2519,2384,2338
1748883863621,2456,2446,2262
1748883863631,2493,2453,2229
1748883863641,2517,2449,2213
1748883863651,2573,2516,2168
1748883863661,2578,2483,2137
1748883863671,2512,2489,2013
1748883863681,2501,2463,1992
1748883863691,2548,2506,2003
1748883863701,2498,2450,1926
1748883863711,2555,2449,1893
1748883863721,2575,2543,1835
